model,registration,gear,fuel,tax,mpg,engineSize,make,car_age,price,mileage,car,class
A1,2017,Manual,Petrol,150,55.4,1.4,Audi,6,14249.999999999998,25317.614999999998,Audi A1,Small car
A1,2016,Manual,Petrol,30,55.4,1.4,Audi,7,12539.999999999998,48183.114,Audi A1,Small car
A3,2019,Manual,Petrol,145,49.6,1.0,Audi,4,19722.0,3214.782,Audi A3,Small family car
A1,2016,Automatic,Petrol,30,58.9,1.4,Audi,7,15845.999999999998,51906.34,Audi A1,Small car
A3,2015,Manual,Petrol,20,60.1,1.4,Audi,8,11627.999999999998,74194.208,Audi A3,Small family car
A1,2016,Manual,Petrol,30,55.4,1.4,Audi,7,13679.999999999998,36123.659,Audi A1,Small car
A3,2017,Manual,Petrol,145,58.9,1.4,Audi,6,18354.0,46588.595,Audi A3,Small family car
Q3,2016,Manual,Diesel,145,52.3,2.0,Audi,7,19380.0,72268.235,Audi Q3,Compact SUV
A3,2017,Manual,Petrol,30,58.9,1.4,Audi,6,18696.0,34907.255,Audi A3,Small family car
A3,2017,Automatic,Petrol,145,58.9,1.4,Audi,6,16530.0,42085.004,Audi A3,Small family car
Q3,2016,Automatic,Diesel,145,53.3,2.0,Audi,7,17898.0,45689.164,Audi Q3,Compact SUV
A3,2014,Automatic,Petrol,30,56.5,1.4,Audi,9,15845.999999999998,49100.244,Audi A3,Small family car
Q3,2014,Manual,Petrol,145,47.9,1.4,Audi,9,19380.0,54882.99,Audi Q3,Compact SUV
A5,2017,Automatic,Diesel,145,67.3,2.0,Audi,6,19722.0,59693.9,Audi A5,Large family car
A5,2017,Automatic,Diesel,145,58.9,3.0,Audi,6,25649.999999999996,34833.241,Audi A5,Large family car
A5,2017,Automatic,Diesel,145,61.4,2.0,Audi,6,22229.999999999996,53579.7,Audi A5,Large family car
A1,2018,Manual,Petrol,145,56.5,1.4,Audi,5,18012.0,17365.936999999998,Audi A1,Small car
A1,2015,Automatic,Diesel,0,76.3,1.6,Audi,8,10829.999999999998,88099.186,Audi A1,Small car
Q3,2017,Manual,Petrol,125,51.4,1.4,Audi,6,18810.0,34382.721,Audi Q3,Compact SUV
Q3,2014,Automatic,Diesel,205,47.9,2.0,Audi,9,17100.0,63056.71,Audi Q3,Compact SUV
Q3,2017,Automatic,Petrol,150,47.9,1.4,Audi,6,18240.0,76398.538,Audi Q3,Compact SUV
Q3,2016,Automatic,Diesel,150,51.4,2.0,Audi,7,19266.0,65166.109,Audi Q3,Compact SUV
Q3,2014,Automatic,Diesel,200,47.9,2.0,Audi,9,14021.999999999998,69500.755,Audi Q3,Compact SUV
A1,2017,Manual,Petrol,145,67.3,1.0,Audi,6,12311.999999999998,50598.223,Audi A1,Small car
A3,2017,Manual,Diesel,145,65.7,2.0,Audi,6,19494.0,47537.905,Audi A3,Small family car
A3,2015,Manual,Diesel,20,68.9,2.0,Audi,8,12881.999999999998,121670.971,Audi A3,Small family car
Q3,2016,Automatic,Diesel,160,50.4,2.0,Audi,7,19608.0,63721.227,Audi Q3,Compact SUV
Q3,2017,Automatic,Diesel,145,51.4,2.0,Audi,6,23141.999999999996,69038.972,Audi Q3,Compact SUV
A5,2014,Automatic,Diesel,125,58.9,2.0,Audi,9,15047.999999999998,134950.048,Audi A5,Large family car
Q3,2016,Automatic,Petrol,145,47.9,1.4,Audi,7,17328.0,94528.75,Audi Q3,Compact SUV
A3,2019,Manual,Petrol,145,49.6,1.0,Audi,4,17898.0,3264.661,Audi A3,Small family car
A5,2017,Automatic,Petrol,145,53.3,2.0,Audi,6,23027.999999999996,21008.713,Audi A5,Large family car
Q3,2016,Manual,Petrol,145,49.6,1.4,Audi,7,18126.0,51505.699,Audi Q3,Compact SUV
Q3,2016,Manual,Diesel,30,60.1,2.0,Audi,7,17100.0,62966.606,Audi Q3,Compact SUV
A3,2015,Automatic,Petrol,200,42.8,1.8,Audi,8,17100.0,90572.219,Audi A3,Small family car
A1,2014,Manual,Petrol,125,53.3,1.4,Audi,9,12539.999999999998,55212.835,Audi A1,Small car
A3,2016,Manual,Diesel,0,83.1,1.6,Audi,7,11627.999999999998,106787.721,Audi A3,Small family car
A1,2013,Manual,Diesel,0,74.3,1.6,Audi,10,7979.999999999999,122716.821,Audi A1,Small car
A3,2016,Manual,Diesel,20,70.6,1.6,Audi,7,12083.999999999998,60884.56,Audi A3,Small family car
A3,2017,Manual,Diesel,30,67.3,1.6,Audi,6,18240.0,42234.641,Audi A3,Small family car
Q3,2017,Manual,Diesel,125,57.7,2.0,Audi,6,17100.0,72240.882,Audi Q3,Compact SUV
Q3,2017,Manual,Petrol,150,51.4,1.4,Audi,6,15959.999999999998,108062.049,Audi Q3,Compact SUV
A3,2018,Manual,Petrol,150,54.3,1.5,Audi,5,21602.999999999996,28949.128,Audi A3,Small family car
A1,2017,Manual,Petrol,150,67.3,1.0,Audi,6,13337.999999999998,31002.212,Audi A1,Small car
A3,2013,Automatic,Petrol,125,50.4,1.8,Audi,10,13109.999999999998,82768.569,Audi A3,Small family car
A1,2016,Manual,Petrol,0,67.3,1.0,Audi,7,12311.999999999998,29253.229,Audi A1,Small car
A3,2016,Manual,Diesel,30,67.3,2.0,Audi,7,14249.999999999998,31365.846,Audi A3,Small family car
A3,2017,Manual,Diesel,145,65.7,2.0,Audi,6,14933.999999999998,41777.685,Audi A3,Small family car
A3,2016,Manual,Diesel,20,68.9,2.0,Audi,7,9462.0,141937.935,Audi A3,Small family car
