make,model,price,fuel,mileage,gear,registration,hp,owner,body,car_condition,consumption,emission,color,displacement,drive_type,car_class,car_age,car
Volkswagen,Polo GTI,34690.0,Petrol,10.0,Automatic,2023.0,152.0,1.0,Sedan,Demonstration vehicle,4.2,138.0,Gray,1.984,Front,Small car,0.0,Volkswagen Polo GTI
Volkswagen,Polo GTI,34950.0,Petrol,1500.0,Automatic,2023.0,152.0,1.0,Sedan,Demonstration vehicle,6.6,138.0,Black,1.998,Rear,Small car,0.0,Volkswagen Polo GTI
Volkswagen,Polo GTI,29990.0,Petrol,9000.0,Automatic,2023.0,152.0,1.0,Sedan,Demonstration vehicle,7.4,138.0,White,1.984,Front,Small car,0.0,Volkswagen Polo GTI
Volkswagen,Polo GTI,33989.0,Petrol,3511.0,Automatic,2023.0,152.0,1.0,Sedan,Demonstration vehicle,5.8,138.0,Black,1.984,Front,Small car,0.0,Volkswagen Polo GTI
Volkswagen,Polo GTI,37980.0,Petrol,211.0,Automatic,2023.0,152.0,1.0,Small car,Demonstration vehicle,5.7,138.0,White,1.984,Front,Small car,0.0,Volkswagen Polo GTI
Volkswagen,Polo GTI,29479.0,Petrol,3903.0,Automatic,2023.0,152.0,1.0,Sedan,Demonstration vehicle,5.6,128.0,White,1.984,Front,Small car,0.0,Volkswagen Polo GTI
Volkswagen,Polo GTI,32990.0,Petrol,9950.0,Automatic,2023.0,152.0,1.0,Sedan,Demonstration vehicle,5.8,134.0,Black,1.984,Front,Small car,0.0,Volkswagen Polo GTI
Volkswagen,Polo GTI,31480.0,Petrol,640.0,Automatic,2023.0,152.0,1.0,Sedan,Demonstration vehicle,5.8,134.0,Black,1.498,Front,Small car,0.0,Volkswagen Polo GTI
Volkswagen,Polo GTI,36980.0,Petrol,1001.0,Automatic,2023.0,152.0,1.0,Sedan,Demonstration vehicle,5.6,133.0,Black,1.984,Front,Small car,0.0,Volkswagen Polo GTI
Volkswagen,Polo GTI,32990.0,Petrol,1890.0,Automatic,2023.0,152.0,1.0,Sedan,Demonstration vehicle,5.6,128.0,Black,1.984,Front,Small car,0.0,Volkswagen Polo GTI
Volkswagen,Polo GTI,35480.0,Petrol,35.0,Automatic,2023.0,152.0,1.0,Sedan,Demonstration vehicle,7.2,138.0,Black,1.984,Front,Small car,0.0,Volkswagen Polo GTI
Volkswagen,Polo GTI,34950.0,Petrol,100.0,Automatic,2023.0,152.0,1.0,Sedan,Demonstration vehicle,5.8,138.0,White,1.984,Front,Small car,0.0,Volkswagen Polo GTI
Volkswagen,Polo GTI,34880.0,Petrol,100.0,Automatic,2023.0,152.0,1.0,Sedan,Day admission,5.6,133.0,Black,1.984,Front,Small car,0.0,Volkswagen Polo GTI
Volkswagen,Polo GTI,37999.0,Petrol,2900.0,Automatic,2023.0,152.0,1.0,Sedan,Demonstration vehicle,5.8,138.0,Black,1.984,Front,Small car,0.0,Volkswagen Polo GTI
Volkswagen,Polo GTI,35804.0,Petrol,1500.0,Automatic,2023.0,152.0,1.0,Sedan,Demonstration vehicle,5.7,159.0,Red,1.984,Front,Small car,0.0,Volkswagen Polo GTI
Volkswagen,Polo GTI,31930.0,Petrol,50.0,Automatic,2023.0,152.0,1.0,Small car,Demonstration vehicle,5.6,128.0,Black,1.984,Front,Small car,0.0,Volkswagen Polo GTI
Volkswagen,Polo GTI,32980.0,Petrol,1500.0,Automatic,2023.0,152.0,1.0,Sedan,Demonstration vehicle,5.8,138.0,White,1.984,Front,Small car,0.0,Volkswagen Polo GTI
Volkswagen,Polo GTI,36949.0,Petrol,10.0,Automatic,2023.0,152.0,1.0,Small car,Demonstration vehicle,5.8,138.0,Black,1.984,Front,Small car,0.0,Volkswagen Polo GTI
