make,model,price,fuel,mileage,gear,registration,hp,owner,body,car_condition,seats,doors,consumption,emission,color,car_id,displacement,drive_type,link
Volkswagen ,Polo GTI,"€ 34.690,-1",Benzin,10 km,Automatik,03/2023,152 kW (207 PS),1.0,Limousine,Vorführfahrzeug,5.0,5.0,"4,2 l/100 km (komb.)",,Grau,G3109,1.984 cm³,Front,https://www.autoscout24.de/angebote/volkswagen-polo-gti-2-0-tsi-dsg-iq-light-acc-navi-pano-benzin-grau-69e912c7-81bf-49fb-840b-c6e71f6560f0
Volkswagen ,Polo GTI,"€ 34.950,-1",Benzin,1.500 km,Automatik,03/2023,152 kW (207 PS),1.0,Limousine,Vorführfahrzeug,5.0,4.0,"6,6 l/100 km (komb.)",0 g/km (komb.),Schwarz,363794549,1.998 cm³,Heck,https://www.autoscout24.de/angebote/volkswagen-polo-gti-gti-2-0-l-tsi-dsg-panoramdach-beats-sou-benzin-schwarz-d4086c5e-9b90-4b33-9c8e-7497e26c6c52
Volkswagen ,Polo GTI,"€ 29.990,-1",Benzin,9.000 km,Automatik,02/2023,152 kW (207 PS),1.0,Limousine,Vorführfahrzeug,5.0,5.0,"7,4 l/100 km (komb.)",0 g/km (komb.),Weiß,NU057791,1.984 cm³,Front,https://www.autoscout24.de/angebote/volkswagen-polo-gti-2-0-tsi-dsg-iq-light-rueckfahrkamera-benzin-weiss-c20e5834-2267-40a2-9544-d5a346f1547f
Volkswagen ,Polo GTI,"€ 33.989,-1",Benzin,3.511 km,Automatik,03/2023,152 kW (207 PS),1.0,Limousine,Vorführfahrzeug,5.0,5.0,,,Schwarz,04197NPVFW,1.984 cm³,Front,https://www.autoscout24.de/angebote/volkswagen-polo-gti-2-0-tsi-dsg-iq-light-kamera-sport-select-klima-le-benzin-schwarz-f512787b-d2c8-4b69-9b62-6289c08b8306
Volkswagen ,Polo GTI,"€ 37.980,-1",Benzin,211 km,Automatik,02/2023,152 kW (207 PS),1.0,Kleinwagen,Vorführfahrzeug,5.0,5.0,"5,7 l/100 km (komb.)",,Weiß,VFW028766,1.984 cm³,Front,https://www.autoscout24.de/angebote/volkswagen-polo-gti-2-0-tsi-shz-matrix-led-navi-acc-pano-benzin-weiss-500d77c8-0d1d-4004-aab9-9cfd5c609c53
Volkswagen ,Polo GTI,"€ 29.479,-1",Benzin,3.903 km,Automatik,03/2023,152 kW (207 PS),1.0,Limousine,Vorführfahrzeug,5.0,5.0,"5,6 l/100 km (komb.)",128 g/km (komb.),Weiß,VS-LS145.,1.984 cm³,Front,https://www.autoscout24.de/angebote/volkswagen-polo-gti-2-0-tsi-dsg-18-nav-beats-pano-kam-nav-acc-iq-ass-benzin-schwarz-e3fe818e-24d0-4eb1-997c-8761303358d1
Volkswagen ,Polo GTI,"€ 32.990,-1",Benzin,9.950 km,Automatik,01/2023,152 kW (207 PS),1.0,Limousine,Vorführfahrzeug,5.0,5.0,"5,8 l/100 km (komb.)",134 g/km (komb.),Schwarz,FD-DS2121,1.984 cm³,Front,https://www.autoscout24.de/angebote/volkswagen-polo-gti-2-0-l-tsi-opf-152-kw-207-ps-7-gang-do-benzin-schwarz-c3ec30a6-a86e-42db-a897-de4821a3efae
Volkswagen ,Polo GTI,"€ 31.480,-1",Benzin,640 km,Automatik,02/2023,152 kW (207 PS),1.0,Limousine,Vorführfahrzeug,,,"5,8 l/100 km (komb.)",134 g/km (komb.),Schwarz,NYT176,1.498 cm³,Front,https://www.autoscout24.de/angebote/volkswagen-polo-gti-2-0-tsi-dsg-benzin-schwarz-3b551949-cbe5-4f63-b89f-0b30c4b93f06
Volkswagen ,Polo GTI,"€ 36.980,-1",Benzin,1.001 km,Automatik,02/2023,152 kW (207 PS),1.0,Limousine,Vorführfahrzeug,5.0,4.0,"5,6 l/100 km (komb.)",133 g/km (komb.),Schwarz,37959,1.984 cm³,Front,https://www.autoscout24.de/angebote/volkswagen-polo-gti-2-0-tsi-dsg-navi-led-kamera-acc-benzin-weiss-bc2ce7d5-78dc-498e-b745-7f36398570f7
Volkswagen ,Polo GTI,"€ 32.990,-1",Benzin,1.890 km,Automatik,01/2023,152 kW (207 PS),1.0,Limousine,Vorführfahrzeug,5.0,5.0,"5,6 l/100 km (komb.)",128 g/km (komb.),Schwarz,U010281,1.984 cm³,Front,https://www.autoscout24.de/angebote/volkswagen-polo-gti-2-0-tsi-el-panodach-panorama-navi-digitales-cockp-benzin-schwarz-672f72ae-c537-4350-afe3-0307f5d5cfa1
