make,car,depreciation_rate
Audi,Audi A1,9.156666666666666
Audi,Audi A3,9.435
Audi,Audi A5,11.928333333333333
Audi,Audi Q3,9.229166666666666
BMW,BMW 120,11.4125
BMW,BMW 320,12.555833333333332
BMW,BMW X1,12.831666666666665
BMW,BMW i3,5.3566666666666665
Mercedes-Benz,Mercedes-Benz A 200,10.265454545454546
Mercedes-Benz,Mercedes-Benz C 200,11.639166666666668
Mercedes-Benz,Mercedes-Benz GLA 200,8.41
Volkswagen,Volkswagen Golf GTI,8.940833333333332
Volkswagen,Volkswagen Passat Variant,14.080833333333333
Volkswagen,Volkswagen Polo GTI,9.566666666666666
Volkswagen,Volkswagen Tiguan,11.878333333333332
smart,smart forFour,7.342499999999999
